df3
;result;reco;date;total_electorate;question;tags;theme;results;recommendation;congruence;weight;congruence_weighted;year;compteur
49;No;Rejection;2022-09-25;5549085;Wollen Sie die Volksinitiative «Keine Massentierhaltung in der Schweiz (Massentierhaltungsinitiative)» annehmen? ;['livestock', 'animal protection', 'agriculture'];1;0;0;0;0.6376059979317477;0.0;2022;1
92;Yes;Rejection;2022-02-13;5532340;"""Wollen Sie die Volksinitiative  Ja zum Schutz der Kinder und Jugendlichen vor Tabakwerbung (Kinder und Jugendliche ohne Tabakwerbung) annehmen?""";['addictive substances', 'children and young people', 'radio, television and electronic media'];2;1;0;1;0.6356819487533034;0.6356819487533034;2022;1
93;No;Rejection;2022-02-13;5532340;"""Wollen Sie die Volksinitiative Ja zum Verbot von Tier- und Menschenversuchen - Ja zu Forschungswegen mit Impulsen für Sicherheit und Fortschritt annehmen?""";['animal testing', 'medical research and technology', 'animal protection'];2;0;0;0;0.6356819487533034;0.0;2022;1
109;Yes;Rejection;2021-11-28;5514490;"""Wollen Sie die Volksinitiative ""Für eine starke Pflege (Pflegeinitiative)"" annehmen?""";['health', 'health policy', 'health and accident insurance'];2;1;0;1;0.6336309318625761;0.6336309318625761;2021;1
110;No;Rejection;2021-11-28;5514490;"""Wollen Sie die Volksinitiative ""Bestimmung der Bundesrichterinnen und Bundesrichter im Losverfahren (Justiz-Initiative)"" annehmen?""";['courts', 'electoral system'];6;0;0;0;0.6336309318625761;0.0;2021;1
129;No;Rejection;2021-09-26;5519168;;['tax policy', 'social policy'];7;0;0;0;0.6341684476617259;0.0;2021;1
153;No;Rejection;2021-06-13;5507117;;['agriculture', 'economy', 'environment'];1;0;0;0;0.632783752728944;0.0;2021;1
154;No;Rejection;2021-06-13;5507117;;['agriculture', 'water pollution control', 'soil protection'];1;0;0;0;0.632783752728944;0.0;2021;1
171;Yes;Rejection;2021-03-07;5496858;;['fundamental rights', 'public security', 'status of women'];2;1;0;1;0.6316049638055843;0.6316049638055843;2021;1
189;No;Rejection;2020-11-29;5495345;;['neutrality', 'security policy', 'finance'];7;0;0;0;0.6314311157072274;0.0;2020;1
190;No;Rejection;2020-11-29;5495345;;['legal system', 'Swiss abroad', 'economic policy'];6;0;0;0;0.6314311157072274;0.0;2020;1
220;No;Rejection;2020-09-27;5493036;;['EU', 'bilateral treaties', 'immigration policy'];6;0;0;0;0.6311658048948638;0.0;2020;1
221;Yes;Acceptance;2020-09-27;5493036;;['maternity insurance', 'social security', 'employment conditions'];2;1;1;0;0.6311658048948638;0.0;2020;1
223;No;Rejection;2020-02-09;5467714;;['housing', 'social policy'];2;0;0;0;0.6282562334827071;0.0;2020;1
492;No;Rejection;2019-02-10;5429641;;['environment and living space', 'spatial planning', 'soil'];1;0;0;0;0.6238815351028381;0.0;2019;1
494;No;Rejection;2018-11-25;-1;;['state organisation', 'institutions', 'courts'];6;0;0;0;-1.149029070435482e-07;-0.0;2018;1
495;No;Rejection;2018-11-25;-1;;['agriculture', 'livestock'];1;0;0;0;-1.149029070435482e-07;-0.0;2018;1
496;No;Rejection;2018-09-23;5412449;;['economy', 'economic policy', 'agriculture'];4;0;0;0;0.6219061243249454;0.0;2018;1
497;No;Rejection;2018-09-23;5412449;;['agriculture', 'environment', 'economy'];1;0;0;0;0.6219061243249454;0.0;2018;1
500;No;Rejection;2018-06-10;5400197;;['finance', 'monetary policy', 'national bank'];7;0;0;0;0.6204983339078479;0.0;2018;1
501;No;Rejection;2018-03-04;5391090;;['culture, religion and media', 'media and communication', 'radio, television and electronic media'];?;0;0;0;0.6194519131334023;0.0;2018;1
569;No;Rejection;2016-11-27;5336515;;['energy', 'nuclear energy', 'energy policy'];1;0;0;0;0.6131810869815006;0.0;2016;1
571;No;Rejection;2016-09-25;5329183;;['social policy', 'social security', 'pension insurance'];2;0;0;0;0.6123386188670573;0.0;2016;1
572;No;Rejection;2016-09-25;5329183;;['environment and living space', 'environment', 'environmental policy'];1;0;0;0;0.6123386188670573;0.0;2016;1
607;No;Rejection;2016-06-05;5313442;;['transport and infrastructure', 'road transport', 'indirect taxation'];7;0;0;0;0.6105299322072848;0.0;2016;1
608;No;Rejection;2016-06-05;5313422;;['social policy', 'social security', 'welfare'];2;0;0;0;0.610527634149144;0.0;2016;1
609;No;Rejection;2016-06-05;5313442;;['transport and infrastructure', 'post', 'telecommunications'];?;0;0;0;0.6105299322072848;0.0;2016;1
637;No;Rejection;2016-02-28;5302797;;['economic policy', 'banks, stock exchange, insurance', 'agriculture'];4;0;0;0;0.6093067907618063;0.0;2016;1
638;No;Rejection;2016-02-28;5302797;;['legal system', 'criminal law', 'fundamental rights'];6;0;0;0;0.6093067907618063;0.0;2016;1
641;No;Rejection;2016-02-28;5302797;;['social policy', 'family policy', 'tax policy'];2;0;0;0;0.6093067907618063;0.0;2016;1
690;No;Rejection;2015-06-14;5254965;;['public finance', 'indirect taxation', 'federalism'];7;0;0;0;0.6038107549120992;0.0;2015;1
691;No;Rejection;2015-06-14;5265120;;['education and research', 'universities', 'division of tasks'];2;0;0;0;0.6049775939331266;0.0;2015;1
714;No;Rejection;2015-03-08;5254965;;['taxation', 'indirect taxation', 'energy policy'];7;0;0;0;0.6038107549120992;0.0;2015;1
715;No;Rejection;2015-03-08;5254965;;['direct taxation', 'family policy', 'welfare'];7;0;0;0;0.6038107549120992;0.0;2015;1
744;No;Rejection;2014-11-30;5247489;;['economy', 'national bank', 'monetary policy'];4;0;0;0;0.6029517407790417;0.0;2014;1
745;No;Rejection;2014-11-30;5247489;;['environment and living space', 'immigration policy', 'development cooperation'];1;0;0;0;0.6029517407790417;0.0;2014;1
746;No;Rejection;2014-11-30;5247489;;['public finance', 'tax policy', 'financial system'];7;0;0;0;0.6029517407790417;0.0;2014;1
773;No;Rejection;2014-09-28;5240533;;['social policy', 'social security', 'health and accident insurance'];2;0;0;0;0.6021524761576468;0.0;2014;1
774;No;Rejection;2014-09-28;5240533;;['economy', 'hospitality', 'indirect taxation'];4;0;0;0;0.6021524761576468;0.0;2014;1
807;No;Rejection;2014-05-18;5221519;;['economy', 'employment', 'employment conditions'];5;0;0;0;0.5999677122831207;0.0;2014;1
808;Yes;Rejection;2014-05-18;5221519;;['legal system', 'criminal law', 'children and young people'];6;1;0;1;0.5999677122831207;0.5999677122831207;2014;1
825;Yes;Rejection;2014-02-09;5211426;;['immigration policy', 'EU', 'bilateral treaties'];2;1;0;1;0.5988079972423302;0.5988079972423302;2014;1
826;No;Rejection;2014-02-09;5211426;;['social policy', 'health policy', 'health and accident insurance'];3;0;0;0;0.5988079972423302;0.0;2014;1
841;No;Rejection;2013-11-24;5203973;;['public finance', 'direct taxation', 'family policy'];7;0;0;0;0.5979516258761347;0.0;2013;1
842;No;Rejection;2013-11-24;5203973;;['economy', 'pricing policy', 'employment'];5;0;0;0;0.5979516258761347;0.0;2013;1
874;No;Rejection;2013-09-22;5194150;;['security policy', 'army', 'abolition of the armed forces'];6;0;0;0;0.5968229346202459;0.0;2013;1
894;No;Rejection;2013-06-09;5184426;;"['state organisation', 'government, administration', ""citizens' rights""]";6;0;0;0;0.5957056187521544;0.0;2013;1
926;Yes;Rejection;2013-03-03;5174680;;['economic policy', 'structural policy', 'employment conditions'];4;1;0;1;0.594585775020108;0.594585775020108;2013;1
981;No;Rejection;2012-09-23;5160811;;['health policy', 'addictive substances', 'employment conditions'];3;0;0;0;0.592992186602321;0.0;2012;1
982;No;Rejection;2012-09-23;5160811;;['direct taxation', 'building of residential housing, property ownership', 'senior citizens'];7;0;0;0;0.592992186602321;0.0;2012;1
1016;No;Rejection;2012-06-17;5149086;;"[""citizens' rights"", 'referendum', 'foreign policy']";6;0;0;0;0.5916449500172354;0.0;2012;1
1017;No;Rejection;2012-06-17;5149086;;['housing', 'building of residential housing, property ownership', 'tax policy'];7;0;0;0;0.5916449500172354;0.0;2012;1
1047;No;Rejection;2012-03-11;5139055;;['employment conditions', 'working hours', 'health'];3;0;0;0;0.5904923589566816;0.0;2012;1
1048;No;Rejection;2012-03-11;5139055;;['public finance', 'tax policy', 'budget cuts and remediation measures'];7;0;0;0;0.5904923589566816;0.0;2012;1
1049;Yes;Rejection;2012-03-11;5139055;;['environment and living space', 'housing', 'spatial planning'];1;1;0;1;0.5904923589566816;0.5904923589566816;2012;1
1186;No;Rejection;2011-02-13;5091652;;['armed forces in general', 'public security'];6;0;0;0;0.5850456164540963;0.0;2011;1
1211;No;Rejection;2010-11-28;5084053;;['tax policy', 'tax system', 'direct taxation'];7;0;0;0;0.5841724692634723;0.0;2010;1
1213;Yes;Rejection;2010-11-28;5084053;;['fundamental rights', 'immigration policy', 'cultural policy'];2;1;0;1;0.5841724692634723;0.5841724692634723;2010;1
1307;No;Rejection;2010-03-07;5051169;;['animal protection'];1;0;0;0;0.5803940020682523;0.0;2010;1
1328;Yes;Rejection;2009-11-29;5039676;;['fundamental rights', 'religion, churches'];2;1;0;1;0.5790734229576008;0.5790734229576008;2009;1
1329;No;Rejection;2009-11-29;5039676;;['arms', 'foreign trade policy'];6;0;0;0;0.5790734229576008;0.0;2009;1
1493;No;Rejection;2008-11-30;4996626;;['addictive substances', 'children and young people'];3;0;0;0;0.574126852809376;0.0;2008;1
1494;No;Rejection;2008-11-30;4996626;;['environment', 'legal system'];1;0;0;0;0.574126852809376;0.0;2008;1
1495;No;Rejection;2008-11-30;4996626;;['pension insurance', 'senior citizens'];7;0;0;0;0.574126852809376;0.0;2008;1
1496;Yes;Rejection;2008-11-30;4996626;;['criminal law', 'children and young people'];6;1;0;1;0.574126852809376;0.574126852809376;2008;1
1541;No;Rejection;2008-06-01;4970220;;"[""citizens' rights"", 'government, administration', 'media and communication']";6;0;0;0;0.5710927266459841;0.0;2008;1
1552;No;Rejection;2008-06-01;4970220;;"['citizenship', ""citizens' rights"", 'immigration policy']";6;0;0;0;0.5710927266459841;0.0;2008;1
1585;No;Rejection;2008-02-24;4957889;;['noise protection', 'tourism', 'army'];3;0;0;0;0.5696758588992301;0.0;2008;1
1724;No;Rejection;2007-03-11;4914140;;['health and accident insurance'];3;0;0;0;0.564648971618982;0.0;2007;1
1761;No;Rejection;2006-09-24;4893927;;['pension insurance', 'monetary policy'];7;0;0;0;0.5623264391589107;0.0;2006;1
